triad,cue_M,cue_frequency_M,word1_M,word1_frequency_M,word2_M,word2_frequency_M,word1_match_M,word1_match_frequency_M,word2_match_M,word2_match_frequency_M,cue_E,cue_frequency_E,word1_E,word1_frequency_E,word2_E,word2_frequency_E,word1_match_E,word1_match_frequency_E,word2_match_E,word2_match_frequency_E,cue_V,cue_frequency_V,word1_V,word1_frequency_V,word2_V,word2_frequency_V,word1_match_V,word1_match_frequency_V,word2_match_V,word2_match_frequency_V
orchid,兰花,,茉莉花,,莲花,,兰花 - 茉莉花,,兰花 - 莲花,,orchid,3078,jasmine,4015,lotus,2341,orchid - jasmine,2,orchid - lotus,1,hoa lan,,hoa nhài,,hoa sen,,hoa lan - hoa nhài,0,hoa lan - hoa sen,0
camel,骆驼,,犀牛,,大猩猩,,骆驼 - 犀牛,,骆驼 - 大猩猩,,camel,5552,rhinoceros,600,gorilla,4176,camel - rhinoceros,2,camel - gorilla,0,lạc đà,,tê giác,,khỉ đột,,lạc đà - tê giác,0,lạc đà - khỉ đột,0
popcorn,爆米花,,薯片,,梳打饼,,爆米花 - 薯片,,爆米花 - 梳打饼,,popcorn,5163,chips,35203,crackers,6170,popcorn - chips,59,popcorn - crackers,21,bắp rang,,khoai tây chiên,,bánh quy,,bắp rang - khoai tây chiên,0,bắp rang - bánh quy,0
electricity,电,,热,,阳光,,电 - 热,,电 - 阳光,,electricity,26003,heat,82112,sunlight,13624,electricity - heat,658,electricity - sunlight,137,điện,,nhiệt,,ánh nắng,,điện - nhiệt,76,điện - ánh nắng,0
camera,相机,,钟,,吸尘器,,相机 - 钟,,相机 - 吸尘器,,camera,99855,clock,29112,vacuum,10389,camera - clock,45,camera - vacuum,7,máy ảnh,,đồng hồ,,máy hút bụi,,máy ảnh - đồng hồ,0,máy ảnh - máy hút bụi,0
rock,石头,,土壤,,水晶,,石头 - 土壤,,石头 - 水晶,,rock,100028,soil,38159,crystal,18456,rock - soil,311,rock - crystal,116,đá,,đất,,thuỷ tinh,,đá - đất,82,đá - thuỷ tinh,0
crutch,拐杖,,手杖,,轮椅,,拐杖 - 手杖,,拐杖 - 轮椅,,crutch,2566,cane,8248,wheelchair,10213,crutch - cane,15,crutch - wheelchair,5,nạng,,gậy,,xe lăn,,nạng - gậy,0,nạng - xe lăn,3
musician,音乐家,,艺术家,,演员,,音乐家 - 艺术家,,音乐家 - 演员,,musician,24829,artist,101861,actor,58856,musician - artist,209,musician - actor,131,nhạc sĩ,,nghệ sĩ,,diễn viên,,nhạc sĩ - nghệ sĩ,23,nhạc sĩ - diễn viên,11
seller,销售员,,商店,,市场,,销售员 - 商店,,销售员 - 市场,,seller,11683,shop,61038,market,210848,seller - shop,31,seller - market,240,người bán hàng,,cửa hàng,,chợ,,người bán hàng - cửa hàng,0,người bán hàng - chợ,9
octopus,章鱼,,海星,,水母,,章鱼 - 海星,,章鱼 - 水母,,octopus,2297,starfish,739,jellyfish,1274,octopus - starfish,7,octopus - jellyfish,4,bạch tuộc,,sao biển,,sứa,,bạch tuộc - sao biển,0,bạch tuộc - sứa,0
shield,盾,,大炮,,矛,,盾 - 大炮,,盾 - 矛,,shield,13931,cannon,7396,spear,7038,shield - cannon,0,shield - spear,86,tấm khiên,,đại bác,,giáo,,tấm khiên - đại bác,0,tấm khiên - giáo,0
champion,冠军,,运动员,,名人,,冠军 - 运动员,,冠军 - 名人,,champion,27593,athlete,40094,celebrity,24989,champion - athlete,86,champion - celebrity,15,nhà vô địch,,vận động viên,,người nổi tiếng,,nhà vô địch - vận động viên,0,nhà vô địch - người nổi tiếng,0
town,小镇,,村庄,,城市,,小镇 - 村庄,,小镇 - 城市,,town,173905,village,55217,city,433843,town - village,946,town - city,3539,thị trấn,,làng,,thành phố,,thị trấn - làng,17,thị trấn - thành phố,84
glue,胶水,,酒精,,汽油,,胶水 - 酒精,,胶水 - 汽油,,glue,5606,alcohol,36823,gasoline,12925,glue - alcohol,5,glue - gasoline,9,hồ dán,,cồn,,xăng,,hồ dán - cồn,0,hồ dán - xăng,0
crow,乌鸦,,麻雀,,鹰,,乌鸦 - 麻雀,,乌鸦 - 鹰,,crow,4678,sparrow,1558,eagle,21220,crow - sparrow,1,crow - eagle,21,quạ,,chim sẻ,,đại bàng,,quạ - chim sẻ,0,quạ - đại bàng,0
peacock,孔雀,,鸵鸟,,猫头鹰,,孔雀 - 鸵鸟,,孔雀 - 猫头鹰,,peacock,1354,ostrich,846,owl,8139,peacock - ostrich,3,peacock - owl,2,công,,đà điểu,,cú,,công - đà điểu,0,công - cú,0
stairs,楼梯,,阁楼,,阳台,,楼梯 - 阁楼,,楼梯 - 阳台,,stairs,1491,attic,5729,balcony,7449,stairs - attic,132,stairs - balcony,60,cầu thang,,gác xép,,ban công,,cầu thang - gác xép,0,cầu thang - ban công,0
feather,羽毛,,喙,,爪,,羽毛 - 喙,,羽毛 - 爪,,feather,11419,beak,2668,talons,1123,feather - beak,10,feather - talons,0,lông vũ,,mỏ,,móng vuốt,,lông vũ - mỏ,0,lông vũ - móng vuốt,0
roof,屋顶,,露台,,大门,,屋顶 - 露台,,屋顶 - 大门,,roof,34005,patio,5571,gate,37317,roof - patio,36,roof - gate,26,mái nhà,,hiên,,cổng,,mái nhà - hiên,0,mái nhà - cổng,0
castle,城堡,,宝座,,堡垒,,城堡 - 宝座,,城堡 - 堡垒,,castle,15330,throne,12528,tower,31252,castle - throne,17,castle - tower,133,lâu đài,,ngai vàng,,tháp,,lâu đài - ngai vàng,0,lâu đài - tháp,0
elbow,手肘,,脚踝,,指关节,,手肘 - 脚踝,,手肘 - 指关节,,elbow,15543,ankle,15182,knuckle,3923,elbow - ankle,38,elbow - knuckle,3,khuỷu tay,,mắt cá,,đốt ngón tay,,khuỷu tay - mắt cá,0,khuỷu tay - đốt ngón tay,0
aunt,姨母,,奶奶,,亲姐姐,,姨母 - 奶奶,,姨母 - 亲姐姐,,aunt,30364,grandmother,28091,sister,120346,aunt - grandmother,320,aunt - sister,546,cô,,bà,,chị,,cô - bà,216,cô - chị,241
moon,月亮,,行星,,小行星,,月亮 - 行星,,月亮 - 小行星,,moon,54069,planet,69822,asteroid,8179,moon - planet,651,moon - asteroid,115,trăng,,hành tinh,,thiên thạch,,trăng - hành tinh,9,trăng - thiên thạch,0
witch,女巫,,仙女,,魔法师,,女巫 - 仙女,,女巫 - 魔法师,,witch,15359,fairy,11276,magician,4454,witch - fairy,45,witch - magician,12,phù thuỷ,,tiên,,nhà ảo thuật,,phù thuỷ - tiên,0,phù thuỷ - nhà ảo thuật,0
rainforest,雨林,,绿洲,,沼泽,,雨林 - 绿洲,,雨林 - 沼泽,,rainforest,2584,oasis,2908,swamp,6725,rainforest - oasis,0,rainforest - swamp,5,rừng nhiệt đới,,ốc đảo,,đầm lầy,,rừng nhiệt đới - ốc đảo,0,rừng nhiệt đới - đầm lầy,0
aquarium,水族馆,,运河,,大坝,,水族馆 - 运河,,水族馆 - 大坝,,aquarium,4135,canal,11850,dam,10959,aquarium - canal,3,aquarium - dam,0,bể cá,,kênh đào,,đập nước,,bể cá - kênh đào,0,bể cá - đập nước,0
panda,熊猫,,树袋熊,,北极熊,,熊猫 - 树袋熊,,熊猫 - 北极熊,,panda,3014,koala,494,polar bear,1150,panda - koala,3,panda - polar bear,0,gấu trúc,,gấu túi,,gấu Bắc cực,,gấu trúc - gấu túi,0,gấu trúc - gấu Bắc cực,0
comet,彗星,,大气层,,星系,,彗星 - 大气层,,彗星 - 星系,,comet,8808,atmosphere,34247,galaxy,25775,comet - atmosphere,64,comet - galaxy,23,sao chổi,,khí quyển,,thiên hà,,sao chổi - khí quyển,0,sao chổi - thiên hà,0
marble,大理石,,混凝土,,水泥,,大理石 - 混凝土,,大理石 - 水泥,,marble,9297,concrete,18533,cement,6772,marble - concrete,38,marble - cement,16,cẩm thạch,,bê tông,,xi măng,,cẩm thạch - bê tông,0,cẩm thạch - xi măng,0
north,北,,东,,西,,北 - 东,,北 - 西,,north,137666,east,110589,west,116683,north - east,4707,north - west,4107,bắc,,đông ,,tây,,bắc - đông ,,bắc - tây,
fountain,喷泉,,广场,,雕像,,喷泉 - 广场,,喷泉 - 雕像,,fountain,9334,square,34163,statue,15343,fountain - square,124,fountain - statue,44,đài phun nước ,,quãng trường,,tượng,,đài phun nước  - quãng trường,0,đài phun nước  - tượng,0
desert,沙漠,,北极,,岛屿,,沙漠 - 北极,,沙漠 - 岛屿,,desert,29353,arctic,NA,island,98596,desert - arctic,28,desert - island,533,sa mạc,,Bắc cực,,đảo,,sa mạc - Bắc cực,0,sa mạc - đảo,0
waiter,侍者,,厨师,,酒吧侍者,,侍者 - 厨师,,侍者 - 酒吧侍者,,waiter,8916,cook,13308,bartender,5478,waiter - cook,29,waiter - bartender,41,bồi bàn,,đầu bếp,,người pha chế rượu,,bồi bàn - đầu bếp,0,bồi bàn - người pha chế rượu,0
bookcase,书架,,壁炉,,空调,,书架 - 壁炉,,书架 - 空调,,bookcase,1770,fireplace,7241,air conditioner,1392,bookcase - fireplace,19,bookcase - air conditioner,0,tủ sách,,lò sưởi,,máy lạnh,,tủ sách - lò sưởi,0,tủ sách - máy lạnh,0
earthquake,地震,,飓风,,海啸,,地震 - 飓风,,地震 - 海啸,,earthquake,16050,hurricane,31072,tsunami,5130,earthquake - hurricane,138,earthquake - tsunami,701,động đất,,bão,,sóng thần,,động đất - bão,5,động đất - sóng thần,89
dinosaur,恐龙,,鳄鱼,,蛇,,恐龙 - 鳄鱼,,恐龙 - 蛇,,dinosaur,9975,crocodile,2834,snake,18993,dinosaur - crocodile,3,dinosaur - snake,4,khủng long,,cá sấu,,rắn,,khủng long - cá sấu,0,khủng long - rắn,0
leather,皮革,,丝绸,,天鹅绒,,皮革 - 丝绸,,皮革 - 天鹅绒,,leather,20393,silk,12138,velvet,6258,leather - silk,178,leather - velvet,52,da thuộc,,lụa,,nhung,,da thuộc - lụa,0,da thuộc - nhung,0
glasses,眼镜,,双筒望远镜,,单筒望远镜,,眼镜 - 双筒望远镜,,眼镜 - 单筒望远镜,,glasses,23475,binoculars,4076,telescope,19572,glasses - binoculars,36,glasses - telescope,11,mắt kính,,ống nhòm,,kính viễn vọng,,mắt kính - ống nhòm,0,mắt kính - kính viễn vọng,0
pipe,管道,,下水道,,泵,,管道 - 下水道,,管道 - 泵,,pipe,21413,sewer,5652,pump,16418,pipe - sewer,153,pipe - pump,61,ống nước,,cống,,máy bơm,,ống nước - cống,0,ống nước - máy bơm,0
corridor,走廊,,入口,,出口,,走廊 - 入口,,走廊 - 出口,,corridor,14779,entrance,22111,exit,17065,corridor - entrance,53,corridor - exit,36,hành lang,,lối vào,,lối ra,,hành lang - lối vào,0,hành lang - lối ra,0
medicine,药,,体温计,,听诊器,,药 - 体温计,,药 - 听诊器,,medicine,56814,thermometer,3355,stethoscope,830,medicine - thermometer,2,medicine - stethoscope,4,thuốc,,nhiệt kế,,ống nghe,,thuốc - nhiệt kế,0,thuốc - ống nghe,0
middle,中间,,上面,,下面,,中间 - 上面,,中间 - 下面,,middle,72563,top,136658,bottom,54701,middle - top,1106,middle - bottom,555,giữa,,trên,,dưới,,giữa - trên,1032,giữa - dưới,0
employee,雇员,,经理,,执行总监,,雇员 - 经理,,雇员 - 执行总监,,employee,101818,manager,91527,executive,91696,employee - manager,281,employee - executive,121,nhân viên,,quản lý,,giám đốc,,nhân viên - quản lý,200,nhân viên - giám đốc,45
letter,信件,,便条,,文章,,信件 - 便条,,信件 - 文章,,letter,132828,note,114251,article,173819,letter - note,456,letter - article,396,thư,,ghi chú,,bài báo,,thư - ghi chú,0,thư - bài báo,0
rough,粗糙,,坚硬,,尖锐,,粗糙 - 坚硬,,粗糙 - 尖锐,,rough,27778,hard,228234,sharp,34272,rough - hard,259,rough - sharp,35,thô,,cứng,,nhọn,,thô - cứng,10,thô - nhọn,0
smooth,光滑,,柔软,,轻便,,光滑 - 柔软,,光滑 - 轻便,,smooth,27095,soft,51824,light,62687,smooth - soft,340,smooth - light,274,trơn,,mềm,,nhẹ,,trơn - mềm,4,trơn - nhẹ,3
loud,响,,热,,亮,,响 - 热,,响 - 亮,,loud,22276,hot,128310,bright,59449,loud - hot,81,loud - bright,121,to tiếng,,nóng,,sáng,,to tiếng - nóng,0,to tiếng - sáng,0
trap,陷阱,,诡计,,谎言,,陷阱 - 诡计,,陷阱 - 谎言,,trap,20197,trick,7927,lie,135712,trap - trick,34,trap - lie,16,bẫy,,lừa gạt,,nói dối,,bẫy - lừa gạt,0,bẫy - nói dối,0
muzzle,动物的口鼻部,,爪子,,尾巴,,动物的口鼻部 - 爪子,,动物的口鼻部 - 尾巴,,muzzle,1925,claw,6363,tail,23344,muzzle - claw,0,muzzle - tail,19,mõm,,móng,,đuôi,,mõm - móng,0,mõm - đuôi,0
during,在……期间,,在……之前,,在……之后,,在……期间 - 在……之前,,在……期间 - 在……之后,,during,423624,before,402959,after,745154,during - before,7162,during - after,12699,trong lúc,,trước,,sau,,trong lúc - trước,0,trong lúc - sau,0
hundred,百,,十,,千,,百 - 十,,百 - 千,,hundred,66002,ten,103677,thousand,62833,hundred - ten,987,hundred - thousand,7629,trăm,,mười,,ngàn,,trăm - mười,15,trăm - ngàn,277
June,六月,,二月,,十月,,六月 - 二月,,六月 - 十月,,June,89249,February,46425,October,80123,June - February,322,June - October,519,tháng sáu,,tháng hai,,tháng mười,,tháng sáu - tháng hai,0,tháng sáu - tháng mười,0
vertebra,椎骨,,头骨,,肋骨,,椎骨 - 头骨,,椎骨 - 肋骨,,vertebra,1600,skull,14911,rib,11741,vertebra - skull,10,vertebra - rib,2,đốt sống,,sọ,,xương sườn,,đốt sống - sọ,0,đốt sống - xương sườn,0
audience,听众,,病人,,顾客,,听众 - 病人,,听众 - 顾客,,audience,83493,patient,154125,customer,91563,audience - patient,34,audience - customer,37,khán giả,,bệnh nhân,,khách hàng,,khán giả - bệnh nhân,0,khán giả - khách hàng,0
skyscraper,摩天大楼,,体育场,,公寓,,摩天大楼 - 体育场,,摩天大楼 - 公寓,,skyscraper,2719,stadium,27233,apartment,65884,skyscraper - stadium,4,skyscraper - apartment,9,nhà chọc trời,,sân vận động,,căn hộ,,nhà chọc trời - sân vận động,0,nhà chọc trời - căn hộ,0
black,黑色,,白色,,蓝色,,黑色 - 白色,,黑色 - 蓝色,,black,293101,white,251664,blue,102172,black - white,49965,black - blue,3506,đen,,trắng,,xanh dương,,đen - trắng,516,đen - xanh dương,0
morning,早晨 ,,傍晚,,下午,,早晨  - 傍晚,,早晨  - 下午,,morning,259129,evening,83312,afternoon,67378,morning - evening,2290,morning - afternoon,2608,buổi sáng,,buổi tối,,buổi chiều,,buổi sáng - buổi tối,32,buổi sáng - buổi chiều,52
wind,风,,雨,,雪,,风 - 雨,,风 - 雪,,wind,78623,rain,50093,sleet,888,wind - rain,1989,wind - sleet,60,gió,,mưa,,mưa đá,,gió - mưa,,gió - mưa đá,
sunset,日落,,白天,,夜晚,,日落 - 白天,,日落 - 夜晚,,sunset,12247,day,1068902,night,452094,sunset - day,370,sunset - night,283,hoàng hôn,,ngày,,đêm,,hoàng hôn - ngày,13,hoàng hôn - đêm,5
triangle,三角形,,圆圈,,星形,,三角形 - 圆圈,,三角形 - 星形,,triangle,8988,circle,50510,star,167036,triangle - circle,139,triangle - star,56,hình tam giác,,hình tròn,,ngôi sao,,hình tam giác - hình tròn,0,hình tam giác - ngôi sao,0
sad,伤心,,害怕,,生气,,伤心 - 害怕,,伤心 - 生气,,sad,54041,afraid,78979,angry,52980,sad - afraid,123,sad - angry,701,buồn,,sợ hãi,,giận dữ,,buồn - sợ hãi,0,buồn - giận dữ,0
sidewalk,人行道,,十字路口,,马路,,人行道 - 十字路口,,人行道 - 马路,,sidewalk,15203,intersection,9354,road,173413,sidewalk - intersection,19,sidewalk - road,125,vỉa hè,,ngã tư,,con đường,,vỉa hè - ngã tư,0,vỉa hè - con đường,6
smoke,烟,,雾,,蒸汽,,烟 - 雾,,烟 - 蒸汽,,smoke,29483,fog,9800,steam,14454,smoke - fog,148,smoke - steam,129,khói,,sương mù,,hơi nước,,khói - sương mù,3,khói - hơi nước,0
silver,银,,金,,铁,,银 - 金,,银 - 铁,,silver,28244,gold,69903,iron,32359,silver - gold,4671,silver - iron,114,bạc,,vàng,,sắt,,bạc - vàng,210,bạc - sắt,5
rainbow,彩虹,,云,,太阳,,彩虹 - 云,,彩虹 - 太阳,,rainbow,9422,cloud,47140,sun,102043,rainbow - cloud,24,rainbow - sun,84,cầu vồng,,mây,,mặt trời,,cầu vồng - mây,0,cầu vồng - mặt trời,6
month,月,,星期,,年,,月 - 星期,,月 - 年,,month,381833,week,484834,year,1729962,month - week,3111,month - year,5169,tháng,,tuần,,năm,,tháng - tuần,473,tháng - năm,324
height,高度,,宽度,,深度,,高度 - 宽度,,高度 - 深度,,height,37131,width,7373,depth,30176,height - width,7011,height - depth,455,chiều cao,,chiều rộng,,chiều sâu,,chiều cao - chiều rộng,16,chiều cao - chiều sâu,0
wednesday,周三,,周六,,周日,,周三 - 周六,,周三 - 周日,,wednesday,53716,saturday,77304,sunday,90767,wednesday - saturday,624,wednesday - sunday,710,thứ tư,,thứ bảy,,chủ nhật,,thứ tư - thứ bảy,5,thứ tư - chủ nhật,4
